"pair","score"
"aldC_2~~~aldC_1~~~aldC_3group_2563",4.96232e-12
"aldC_2~~~aldC_1~~~aldC_3group_2569",5.60796e-18
"aldC_2~~~aldC_1~~~aldC_3group_2587",4.84121e-08
"aldC_2~~~aldC_1~~~aldC_3group_2600",3.70057e-22
"aldC_2~~~aldC_1~~~aldC_3group_2613",-3.81363e-10
"aldC_2~~~aldC_1~~~aldC_3group_2639",2.31291e-08
"aldC_2~~~aldC_1~~~aldC_3group_283",1.63321e-12
"aldC_2~~~aldC_1~~~aldC_3group_343",-5.73212e-09
"aldC_2~~~aldC_1~~~aldC_3group_416",6.28632e-08
"aldC_2~~~aldC_1~~~aldC_3group_437",5.60796e-18
"aldC_2~~~aldC_1~~~aldC_3group_446",6.07959e-14
"aldC_2~~~aldC_1~~~aldC_3group_49",5.78787e-09
"aldC_2~~~aldC_1~~~aldC_3group_493",5.25583e-22
"aldC_2~~~aldC_1~~~aldC_3group_518",6.24043e-10
"aldC_2~~~aldC_1~~~aldC_3group_565",1.09906e-07
"aldC_2~~~aldC_1~~~aldC_3group_568",1.34174e-16
"aldC_2~~~aldC_1~~~aldC_3group_611",1.59337e-12
"aldC_2~~~aldC_1~~~aldC_3group_656",3.4212e-09
"aldC_2~~~aldC_1~~~aldC_3group_663",3.08847e-13
"aldC_2~~~aldC_1~~~aldC_3group_670",2.28669e-08
"aldC_2~~~aldC_1~~~aldC_3group_726",-1.14067e-12
"aldC_2~~~aldC_1~~~aldC_3group_727",8.61033e-09
"aldC_2~~~aldC_1~~~aldC_3group_737",8.3905e-08
"aldC_2~~~aldC_1~~~aldC_3group_749",6.2854e-13
"aldC_2~~~aldC_1~~~aldC_3group_755",1.15228e-12
"aldC_2~~~aldC_1~~~aldC_3group_769",8.11295e-13
"aldC_2~~~aldC_1~~~aldC_3group_773",2.22764e-13
"aldC_2~~~aldC_1~~~aldC_3group_791",2.04512e-23
